id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LoopStatement,M,NextConstantDefinition,NextID,NextStatement,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
0,,,,,,,,,,,,,,,,,,,,s1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
1,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,s5,,s6,,,,,,,s11,s12,,,,,,,,,,,r43,,,s17,s19,4,7,,8,9,,10,,,13,14,,,,,,,,15,16,,18,
4,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s29,20,22,,23,,,24,,,26,27,,,,,,,,28,,,,
6,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,s17,s19,4,7,,8,,,10,,,13,14,,,,,,,,32,,,33,
10,,,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,s37,,,s39,,s40,,s41,s42,,,,,,,,,,,34,,,,,35,36,38,,,,,,,,,,,43,,
13,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,14,,,,,,,,46,,,,
19,,,,,,,,,,,r34,,,r34,,r34,,r34,r34,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,
20,,,,,,,r16,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s29,20,22,,23,,,24,,,26,27,,,,,,,,48,,,,
22,,,,,,,r19,,,,,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,r17,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,r20,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,s37,,,s39,,s40,,s41,s42,,,,,,,,,,,49,,,,,35,36,38,,,,,,,,,,,43,,
26,s50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,r18,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,s51,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,52,,,,,,,,
29,,,,,,,,,,,r34,,,r34,,r34,,r34,r34,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,
30,,,s55,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,56,,,,,,,,,,
31,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,14,,,,,,,,59,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,s61,s62,s63,,,s64,,s65,s66,s67,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,
36,,,,,r27,,,r27,r27,r27,,,r27,,r27,r27,r27,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,r44,,,r44,r44,r44,,,r44,,r44,r44,r44,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,r30,,,r30,r30,r30,,,r30,,r30,r30,r30,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,70,71,73,,,,,,,,,,,78,,
40,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,84,,
41,,,,,r31,,,r31,r31,r31,,,r31,,r31,r31,r31,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,85,,
43,,,,,s86,,,r24,r24,r24,,,r24,,r24,r24,r24,,r24,,,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,s90,,,s92,,s93,,s94,s95,,,,,,,,,,,,,,,,88,89,91,,,,,,,,,,,96,,
45,,,s97,,,,,,,,,,,,,,,,,,,s99,,,,,,,,,,,,,,,,,,,98,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,s37,,,s39,,s40,,s41,s42,,,,,,,,,,,100,,,,,101,36,38,,,,,,,,,,,43,,
48,,,,,,,s102,,,,,,,,,,,,,,,s104,,,,,,,,,,,,,,,,,,,,103,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,s108,,,s110,,s111,,s112,s113,,,,,,,,,,,,,,,,106,107,109,,,,,,,,,,,114,,
51,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,115,,,,,,,,,,,
54,,,,,,,,,,,s37,,,s39,,s40,,s41,s42,,,,,,,,,,,116,,,,,101,36,38,,,,,,,,,,,43,,
55,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,
56,,r6,,,,,,,,,r6,r6,,,,,,,,,,,r6,,,r6,r6,,,,,,,,,,,,,,,,,,,,,,,
57,,r8,,,,,,,,,r8,r8,,,,,,,,,,,r8,,,r8,r8,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,r34,,,,,,,,,r34,r34,,,,,,,,,,,r34,,,,r34,,,,,,,,,,,,119,,,,,,,,,,,
61,,,,,,,,,,,r37,,,r37,,r37,,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,r42,,,r42,,r42,,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,r41,,,r41,,r41,,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,r40,,,r40,,r40,,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,r39,,,r39,,r39,,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,120,,
67,,,,,,,,,,,r38,,,r38,,r38,,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,79,81,,,,,,,,,,,121,,
69,,,,,,,,,,,s124,,,s126,,s127,,s128,s129,,,,,,,,,,,,,,,,122,123,125,,,,,,,,,,,130,,
70,,,,,,,,,,,,,,,,s131,,,s132,,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,r27,,,,,,,,,,,r27,,,r27,,r27,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,r44,,,,,,,,,,,r44,,,r44,,r44,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r30,,,,,,,,,,,r30,,,r30,,r30,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,134,71,73,,,,,,,,,,,78,,
75,,,,,,,,,,,s136,,,s138,,,,s139,,,,,,,,,,,,,,,,,,135,137,,,,,,,,,,,140,,
76,,,,,r31,,,,,,,,,,,r31,,,r31,,r31,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,s136,,,s138,,,,s139,,,,,,,,,,,,,,,,,,135,137,,,,,,,,,,,141,,
78,,,,,s142,,,,,,,,,,,r24,,,r24,,r24,,,,s143,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,r27,,,r27,r27,r27,,,r27,,r27,r27,r27,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,r44,,,r44,r44,r44,,,r44,,r44,r44,r44,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,r30,,,r30,r30,r30,,,r30,,r30,r30,r30,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,144,71,73,,,,,,,,,,,78,,
83,,,,,r31,,,r31,r31,r31,,,r31,,r31,r31,r31,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,s145,,,r23,r23,r23,,,r23,,r23,r23,r23,,r23,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,s145,,,r22,r22,r22,,,r22,,r22,r22,r22,,r22,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,s37,,,s39,,,,s41,,,,,,,,,,,,,,,,,,147,38,,,,,,,,,,,,,
87,,,,,,,,,,,s37,,,s39,,,,s41,,,,,,,,,,,,,,,,,,148,38,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,s149,,,s150,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,r27,,,,,,,,,,,r27,,,r27,,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,r44,,,,,,,,,,,r44,,,r44,,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,r30,,,,,,,,,,,r30,,,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,151,71,73,,,,,,,,,,,78,,
93,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,152,154,,,,,,,,,,,157,,
94,,,,,r31,,,,,,,,,,,r31,,,r31,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,152,154,,,,,,,,,,,158,,
96,,,,,s159,,,,,,,,,,,r24,,,r24,,,,r24,,s160,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,s161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,r10,,,,,,,,,r10,r10,,,,,,,,,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,
99,,r12,,,,,,,,,r12,r12,,,,,,,,,,,r12,,,,r12,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,s162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,s61,s62,s63,,,s64,,s65,s66,s67,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,
102,,,,,,,r15,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,r13,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,164,,,,,,,,,,,
105,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,165,,,,,,,,,,,
106,,,,,,,r21,,,,,,,,,s166,,,s167,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,r27,,r27,,,,,,,,,r27,,,r27,,,r27,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,r44,,r44,,,,,,,,,r44,,,r44,,,r44,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,r30,,r30,,,,,,,,,r30,,,r30,,,r30,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,168,71,73,,,,,,,,,,,78,,
111,,,,,,,,,,,s170,,,s172,,,,s173,,,,,,,,,,,,,,,,,,169,171,,,,,,,,,,,174,,
112,,,,,r31,,r31,,,,,,,,,r31,,,r31,,,r31,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,s170,,,s172,,,,s173,,,,,,,,,,,,,,,,,,169,171,,,,,,,,,,,175,,
114,,,,,s176,,r24,,,,,,,,,r24,,,r24,,,r24,,,s177,,,,,,,,,,,,,,,,,,,,,,,,,
115,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s29,20,22,,23,,,24,,,26,27,,,,,,,,178,,,,
116,,,,,,s179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,s55,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,180,,,,,,,,,,
118,,,r9,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,14,,,,,,,,181,,,,
120,,,,,s145,,,r26,r26,r26,,,r26,,r26,r26,r26,,r26,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,s145,,,r25,r25,r25,,,r25,,r25,r25,r25,,r25,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,s182,,,s183,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,r27,,,,,,,,,,,r27,,,r27,,,,,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,r44,,,,,,,,,,,r44,,,r44,,,,,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,r30,,,,,,,,,,,r30,,,r30,,,,,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,184,71,73,,,,,,,,,,,78,,
127,,,,,,,,,,,s186,,,s188,,,,s189,,,,,,,,,,,,,,,,,,185,187,,,,,,,,,,,190,,
128,,,,,r31,,,,,,,,,,,r31,,,r31,,,,,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,s186,,,s188,,,,s189,,,,,,,,,,,,,,,,,,185,187,,,,,,,,,,,191,,
130,,,,,s192,,,,,,,,,,,r24,,,r24,,,,,r24,s193,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,s136,,,s138,,,,s139,,,,,,,,,,,,,,,,,,135,137,,,,,,,,,,,194,,
132,,,,,,,,,,,s136,,,s138,,,,s139,,,,,,,,,,,,,,,,,,135,137,,,,,,,,,,,195,,
133,,,,,r32,,,r32,r32,r32,,,r32,,r32,r32,r32,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,s131,,,s132,,s196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,r27,,,,,,,,,,,r27,,,r27,,r27,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,r44,,,,,,,,,,,r44,,,r44,,r44,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,r30,,,,,,,,,,,r30,,,r30,,r30,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,197,71,73,,,,,,,,,,,78,,
